transaction_id,transaction_date,transaction_time,product_id,product_name,product_category,size,quantity,unit_price,total_price,payment_method,customer_id,loyalty_points_earned,location,barista_id,new_transaction_id
78,2025-06-13,08:39:07,P101,Espresso,Coffee,Medium,2,3.0,6.0,Debit Card,C770,0,Mall Branch,EMP005,380
79,2025-02-08,14:29:48,P201,Green Tea,Tea,Small,1,2.0,2.0,Cash,C817,1,Downtown,EMP005,493
80,2025-06-21,20:05:30,P301,Blueberry Muffin,Bakery,,1,2.5,2.5,Cash,,0,Downtown,EMP002,1181
81,2024-10-11,19:37:35,P102,Cappuccino,Coffee,Large,3,4.0,12.0,Credit Card,C792,3,University,EMP005,2063
82,2024-09-08,13:04:23,P302,Croissant,Bakery,,1,3.0,3.0,Credit Card,C687,0,Airport,EMP003,65
83,2025-06-23,17:44:19,P302,Croissant,Bakery,,3,3.0,9.0,Credit Card,C931,0,Mall Branch,EMP001,1368
84,2025-03-08,12:04:46,P101,Espresso,Coffee,Medium,1,3.0,3.0,Cash,,0,Airport,EMP001,1153
85,2025-04-08,16:11:38,P202,Chai Latte,Tea,Medium,3,3.5,10.5,Credit Card,C489,7,Downtown,EMP002,2028
86,2024-09-15,19:27:19,P301,Blueberry Muffin,Bakery,,2,2.5,5.0,Debit Card,C257,2,Airport,EMP002,1496
87,2024-12-19,14:49:30,P101,Espresso,Coffee,Medium,1,3.0,3.0,Debit Card,,0,University,EMP003,1163
88,2025-03-29,15:29:41,P101,Espresso,Coffee,Medium,1,3.0,3.0,Cash,C212,7,Mall Branch,EMP005,1523
89,2025-06-28,20:44:47,P102,Cappuccino,Coffee,Medium,3,3.5,10.5,Credit Card,C330,7,Downtown,EMP002,392
90,2024-09-05,14:43:07,P103,Latte,Coffee,Medium,3,3.5,10.5,Debit Card,,1,Mall Branch,EMP001,1699
91,2025-08-04,19:48:13,P301,Blueberry Muffin,Bakery,,3,2.5,7.5,Debit Card,,0,University,EMP004,419
92,2025-03-13,12:49:51,P103,Latte,Coffee,Large,1,4.5,4.5,Cash,,7,University,EMP002,2337
93,2024-10-04,12:56:17,P201,Green Tea,Tea,Medium,2,2.5,5.0,Credit Card,C493,0,Downtown,EMP002,379
94,2024-09-26,10:14:37,P302,Croissant,Bakery,,2,3.0,6.0,Cash,C917,0,Mall Branch,EMP004,1797
95,2024-12-14,16:26:17,P101,Espresso,Coffee,Medium,1,3.0,3.0,Credit Card,,0,Mall Branch,EMP002,2279
96,2025-07-22,14:52:09,P201,Green Tea,Tea,Small,1,2.0,2.0,Debit Card,,6,University,EMP003,2089
97,2024-09-20,20:31:03,P102,Cappuccino,Coffee,Medium,2,3.5,7.0,Credit Card,,9,Mall Branch,EMP003,2183
98,2025-04-12,12:37:10,P201,Green Tea,Tea,Medium,2,2.5,5.0,Credit Card,,0,University,EMP005,201
99,2024-09-28,18:57:24,P102,Cappuccino,Coffee,Medium,3,3.5,10.5,Cash,C710,0,Mall Branch,EMP001,1864
100,2025-07-05,17:01:31,P201,Green Tea,Tea,Medium,3,2.5,7.5,Cash,C813,1,University,EMP004,780
101,2024-11-08,16:28:08,P103,Latte,Coffee,Medium,3,3.5,10.5,Credit Card,C272,0,Downtown,EMP003,503
102,2024-10-30,15:00:45,P302,Croissant,Bakery,,2,3.0,6.0,Credit Card,C286,5,Airport,EMP002,2455
103,2025-04-17,08:37:11,P103,Latte,Coffee,Medium,1,3.5,3.5,Credit Card,,0,University,EMP005,1752
104,2024-09-20,15:13:09,P103,Latte,Coffee,Medium,1,3.5,3.5,Debit Card,C759,10,Airport,EMP003,805
105,2025-04-26,19:53:15,P103,Latte,Coffee,Medium,2,3.5,7.0,Debit Card,C328,0,Airport,EMP003,2147
106,2025-04-19,13:55:41,P301,Blueberry Muffin,Bakery,,3,2.5,7.5,Debit Card,C795,0,University,EMP005,1896
107,2024-09-24,20:39:05,P101,Espresso,Coffee,Small,1,2.5,2.5,Debit Card,C623,0,Downtown,EMP005,1571
108,2025-03-20,11:12:51,P103,Latte,Coffee,Large,1,4.5,4.5,Cash,,6,Downtown,EMP003,961
109,2025-01-22,12:42:41,P302,Croissant,Bakery,,2,3.0,6.0,Debit Card,,1,Mall Branch,EMP001,1486
110,2025-07-24,19:08:25,P201,Green Tea,Tea,Small,1,2.0,2.0,Debit Card,C664,0,Airport,EMP004,1029
111,2024-11-15,11:14:53,P201,Green Tea,Tea,Small,3,2.0,6.0,Debit Card,C492,5,University,EMP004,503
112,2025-06-12,19:11:51,P202,Chai Latte,Tea,Medium,1,3.5,3.5,Credit Card,,2,University,EMP003,398
113,2024-10-15,10:59:01,P202,Chai Latte,Tea,Large,3,4.0,12.0,Cash,C473,8,Mall Branch,EMP005,871
114,2024-09-01,11:49:25,P101,Espresso,Coffee,Small,1,2.5,2.5,Debit Card,C127,8,Downtown,EMP002,393
115,2024-09-03,09:15:15,P101,Espresso,Coffee,Medium,3,3.0,9.0,Debit Card,C595,9,Downtown,EMP005,207
116,2024-10-23,20:49:43,P103,Latte,Coffee,Large,1,4.5,4.5,Debit Card,,0,Mall Branch,EMP002,1039
117,2024-12-11,15:23:33,P201,Green Tea,Tea,Small,1,2.0,2.0,Debit Card,C762,3,Airport,EMP005,1882
118,2024-11-13,20:25:16,P302,Croissant,Bakery,,2,3.0,6.0,Credit Card,C241,0,Downtown,EMP002,1485
119,2025-06-30,19:12:59,P202,Chai Latte,Tea,Large,1,4.0,4.0,Credit Card,C787,9,Mall Branch,EMP003,864
120,2025-06-03,09:34:02,P103,Latte,Coffee,Medium,1,3.5,3.5,Credit Card,C999,5,Mall Branch,EMP003,564
121,2025-04-16,08:18:09,P101,Espresso,Coffee,Medium,3,3.0,9.0,Debit Card,C989,9,Airport,EMP003,1021
122,2025-02-27,11:45:04,P101,Espresso,Coffee,Medium,1,3.0,3.0,Debit Card,C682,4,University,EMP005,96
123,2025-01-13,18:26:18,P201,Green Tea,Tea,Small,3,2.0,6.0,Credit Card,C534,10,University,EMP001,1924
124,2025-05-24,17:11:56,P201,Green Tea,Tea,Small,2,2.0,4.0,Credit Card,C788,0,Downtown,EMP003,1758
125,2025-07-06,09:04:53,P202,Chai Latte,Tea,Large,3,4.0,12.0,Debit Card,C529,3,Mall Branch,EMP004,2279
126,2025-04-13,11:11:31,P302,Croissant,Bakery,,3,3.0,9.0,Cash,,0,Mall Branch,EMP004,1679
127,2025-01-12,13:50:54,P202,Chai Latte,Tea,Medium,1,3.5,3.5,Credit Card,C891,0,Downtown,EMP003,541
128,2025-06-26,13:48:09,P301,Blueberry Muffin,Bakery,,3,2.5,7.5,Cash,C719,10,Mall Branch,EMP004,1060
129,2025-01-02,16:34:00,P201,Green Tea,Tea,Small,3,2.0,6.0,Debit Card,C367,0,Airport,EMP001,1184
130,2024-11-20,12:08:08,P201,Green Tea,Tea,Medium,1,2.5,2.5,Debit Card,,4,Airport,EMP004,1723
131,2025-08-04,12:57:46,P201,Green Tea,Tea,Small,1,2.0,2.0,Debit Card,,10,University,EMP001,1820
132,2024-09-02,13:20:33,P201,Green Tea,Tea,Small,3,2.0,6.0,Cash,C948,7,Mall Branch,EMP001,1598
133,2025-04-24,17:56:25,P301,Blueberry Muffin,Bakery,,3,2.5,7.5,Debit Card,C957,9,Airport,EMP005,796
134,2024-12-04,18:35:20,P202,Chai Latte,Tea,Medium,2,3.5,7.0,Cash,C184,0,Mall Branch,EMP003,1052
135,2025-01-31,19:51:06,P202,Chai Latte,Tea,Large,3,4.0,12.0,Debit Card,C675,0,Mall Branch,EMP003,1644
136,2024-10-28,12:27:06,P201,Green Tea,Tea,Small,1,2.0,2.0,Debit Card,C148,9,Downtown,EMP004,1364
137,2025-05-10,14:16:53,P102,Cappuccino,Coffee,Medium,1,3.5,3.5,Cash,C906,3,University,EMP003,1982
138,2025-06-20,16:25:19,P101,Espresso,Coffee,Small,3,2.5,7.5,Cash,C272,10,Downtown,EMP004,1355
139,2024-12-31,13:14:40,P201,Green Tea,Tea,Medium,2,2.5,5.0,Credit Card,C625,7,Downtown,EMP003,1664
140,2025-07-28,09:39:08,P102,Cappuccino,Coffee,Large,2,4.0,8.0,Debit Card,C242,7,University,EMP002,1530
141,2024-12-02,12:38:17,P101,Espresso,Coffee,Medium,1,3.0,3.0,Debit Card,C529,0,Downtown,EMP005,2039
142,2024-09-17,17:43:03,P103,Latte,Coffee,Large,3,4.5,13.5,Credit Card,C843,0,Downtown,EMP005,1497
143,2025-03-11,13:30:02,P302,Croissant,Bakery,,2,3.0,6.0,Credit Card,C758,0,Mall Branch,EMP001,2238
144,2025-06-17,13:13:24,P302,Croissant,Bakery,,2,3.0,6.0,Cash,C561,7,Downtown,EMP005,1409
145,2025-01-08,09:45:31,P201,Green Tea,Tea,Medium,3,2.5,7.5,Cash,C106,8,University,EMP001,1401
146,2025-01-02,12:26:19,P302,Croissant,Bakery,,1,3.0,3.0,Debit Card,C368,8,Airport,EMP002,1307
147,2024-11-23,16:19:02,P201,Green Tea,Tea,Small,1,2.0,2.0,Credit Card,,0,Airport,EMP005,973
148,2025-03-07,16:48:42,P102,Cappuccino,Coffee,Small,2,3.0,6.0,Credit Card,,0,Airport,EMP005,1769
149,2024-10-02,17:56:00,P202,Chai Latte,Tea,Large,3,4.0,12.0,Credit Card,C405,5,Downtown,EMP005,1283
150,2025-01-11,20:13:41,P103,Latte,Coffee,Medium,3,3.5,10.5,Debit Card,C888,0,Mall Branch,EMP002,710
151,2025-03-23,10:41:26,P301,Blueberry Muffin,Bakery,,3,2.5,7.5,Cash,,0,Airport,EMP001,1480
152,2024-09-29,13:54:38,P301,Blueberry Muffin,Bakery,,2,2.5,5.0,Debit Card,,0,Mall Branch,EMP003,1435
153,2025-03-24,10:03:55,P102,Cappuccino,Coffee,Small,1,3.0,3.0,Cash,C226,8,University,EMP005,649
154,2024-11-12,14:13:56,P102,Cappuccino,Coffee,Large,1,4.0,4.0,Debit Card,C310,0,Airport,EMP001,318
155,2025-06-07,16:48:33,P103,Latte,Coffee,Medium,3,3.5,10.5,Cash,,0,University,EMP002,1258
156,2025-04-20,08:33:37,P301,Blueberry Muffin,Bakery,,1,2.5,2.5,Debit Card,C627,0,University,EMP003,684
157,2025-07-19,12:22:35,P101,Espresso,Coffee,Medium,3,3.0,9.0,Debit Card,C376,6,University,EMP005,664
158,2024-08-10,15:42:30,P301,Blueberry Muffin,Bakery,,3,2.5,7.5,Credit Card,,0,University,EMP002,1999
159,2025-06-14,18:59:09,P302,Croissant,Bakery,,3,3.0,9.0,Cash,C711,2,Downtown,EMP001,1632
160,2025-07-26,11:23:33,P102,Cappuccino,Coffee,Small,3,3.0,9.0,Credit Card,C791,0,University,EMP002,1496
161,2025-05-08,17:17:40,P301,Blueberry Muffin,Bakery,,3,2.5,7.5,Debit Card,C581,0,Airport,EMP005,1137
162,2025-05-19,18:43:16,P103,Latte,Coffee,Medium,2,3.5,7.0,Cash,C620,10,Airport,EMP004,1854
163,2025-06-03,16:46:25,P301,Blueberry Muffin,Bakery,,3,2.5,7.5,Debit Card,,2,University,EMP002,1521
164,2024-11-15,18:14:41,P103,Latte,Coffee,Large,2,4.5,9.0,Cash,C934,0,University,EMP001,2490
165,2024-10-28,11:35:48,P101,Espresso,Coffee,Small,3,2.5,7.5,Cash,C433,0,University,EMP003,564
166,2024-12-30,13:49:59,P202,Chai Latte,Tea,Large,1,4.0,4.0,Debit Card,C208,0,Downtown,EMP001,1292
167,2025-02-10,16:13:09,P201,Green Tea,Tea,Medium,3,2.5,7.5,Credit Card,C717,6,University,EMP005,1637
168,2025-06-30,18:25:13,P101,Espresso,Coffee,Small,2,2.5,5.0,Cash,C203,0,Downtown,EMP001,699
169,2024-09-01,19:54:53,P301,Blueberry Muffin,Bakery,,3,2.5,7.5,Debit Card,C417,10,University,EMP003,2161
170,2025-03-18,20:48:21,P101,Espresso,Coffee,Medium,2,3.0,6.0,Debit Card,C295,3,University,EMP001,2
171,2025-01-22,09:24:46,P302,Croissant,Bakery,,1,3.0,3.0,Cash,,4,Downtown,EMP002,642
172,2025-01-27,08:48:58,P201,Green Tea,Tea,Medium,1,2.5,2.5,Debit Card,,0,University,EMP001,2268
173,2024-09-06,15:11:37,P302,Croissant,Bakery,,1,3.0,3.0,Debit Card,C430,0,University,EMP001,1590
174,2024-09-23,10:20:50,P302,Croissant,Bakery,,2,3.0,6.0,Debit Card,C865,9,University,EMP004,855
175,2025-07-21,11:30:07,P301,Blueberry Muffin,Bakery,,1,2.5,2.5,Debit Card,C386,0,Downtown,EMP005,1760
176,2024-11-18,12:38:58,P201,Green Tea,Tea,Small,1,2.0,2.0,Cash,C399,4,Downtown,EMP001,2433
177,2024-11-26,18:41:10,P302,Croissant,Bakery,,1,3.0,3.0,Debit Card,C580,0,Mall Branch,EMP004,1662
178,2025-01-19,10:41:17,P103,Latte,Coffee,Medium,1,3.5,3.5,Cash,C164,0,Downtown,EMP001,1154
179,2025-03-11,20:50:42,P103,Latte,Coffee,Large,1,4.5,4.5,Debit Card,C562,10,Mall Branch,EMP003,1077
180,2025-05-10,15:31:10,P301,Blueberry Muffin,Bakery,,2,2.5,5.0,Debit Card,C460,0,Mall Branch,EMP004,1708
181,2024-08-21,16:46:19,P101,Espresso,Coffee,Small,2,2.5,5.0,Debit Card,C428,0,University,EMP002,1696
182,2024-12-03,14:41:24,P103,Latte,Coffee,Medium,2,3.5,7.0,Debit Card,,2,Downtown,EMP004,1734
183,2024-12-11,18:31:59,P101,Espresso,Coffee,Medium,1,3.0,3.0,Debit Card,C811,8,Downtown,EMP005,1440
184,2025-07-01,11:27:31,P202,Chai Latte,Tea,Large,2,4.0,8.0,Debit Card,C981,1,Mall Branch,EMP002,2295
185,2025-02-11,12:19:10,P103,Latte,Coffee,Medium,3,3.5,10.5,Cash,,0,Downtown,EMP001,836
186,2025-01-26,20:54:21,P301,Blueberry Muffin,Bakery,,2,2.5,5.0,Cash,C175,0,Mall Branch,EMP003,203
187,2024-10-18,12:28:55,P301,Blueberry Muffin,Bakery,,1,2.5,2.5,Credit Card,C885,0,University,EMP001,123
188,2025-07-28,17:25:49,P301,Blueberry Muffin,Bakery,,1,2.5,2.5,Credit Card,C302,10,University,EMP001,401
189,2024-12-15,09:45:23,P201,Green Tea,Tea,Medium,1,2.5,2.5,Debit Card,C684,6,University,EMP001,767
190,2025-02-17,15:40:43,P103,Latte,Coffee,Medium,3,3.5,10.5,Cash,,9,Mall Branch,EMP001,294
191,2025-01-20,17:27:22,P202,Chai Latte,Tea,Medium,3,3.5,10.5,Debit Card,,2,University,EMP002,2328
192,2024-12-07,18:27:55,P101,Espresso,Coffee,Small,3,2.5,7.5,Cash,,3,Mall Branch,EMP002,198
193,2025-06-24,13:00:39,P103,Latte,Coffee,Large,2,4.5,9.0,Debit Card,,0,University,EMP004,1931
194,2024-12-07,11:18:02,P202,Chai Latte,Tea,Large,1,4.0,4.0,Credit Card,C624,0,University,EMP005,2192
195,2024-10-04,09:51:16,P103,Latte,Coffee,Large,1,4.5,4.5,Debit Card,C226,0,University,EMP004,609
196,2024-12-17,19:58:01,P101,Espresso,Coffee,Medium,1,3.0,3.0,Credit Card,C687,7,University,EMP002,1148
197,2024-09-24,16:38:51,P202,Chai Latte,Tea,Large,2,4.0,8.0,Cash,C360,7,Downtown,EMP001,187
198,2025-04-23,15:19:29,P101,Espresso,Coffee,Small,1,2.5,2.5,Cash,,10,University,EMP004,1795
199,2025-03-28,16:11:30,P301,Blueberry Muffin,Bakery,,1,2.5,2.5,Credit Card,C417,1,Downtown,EMP002,660
200,2024-11-21,09:24:33,P101,Espresso,Coffee,Medium,3,3.0,9.0,Cash,C536,0,Downtown,EMP002,1956
201,2025-08-07,09:47:50,P301,Blueberry Muffin,Bakery,,2,2.5,5.0,Credit Card,,9,Mall Branch,EMP005,2451
202,2025-06-05,15:31:13,P302,Croissant,Bakery,,2,3.0,6.0,Debit Card,C559,0,Mall Branch,EMP004,1370
203,2025-03-22,15:13:41,P101,Espresso,Coffee,Medium,1,3.0,3.0,Credit Card,C234,4,Airport,EMP003,1987
204,2025-01-19,20:38:24,P301,Blueberry Muffin,Bakery,,1,2.5,2.5,Debit Card,C736,4,Airport,EMP002,1535
205,2025-03-20,13:47:57,P302,Croissant,Bakery,,3,3.0,9.0,Debit Card,C778,0,University,EMP003,147
206,2024-09-06,10:49:35,P103,Latte,Coffee,Large,2,4.5,9.0,Cash,,4,Downtown,EMP001,1735
207,2025-01-16,13:03:23,P102,Cappuccino,Coffee,Small,1,3.0,3.0,Cash,C209,0,Airport,EMP002,1844
208,2025-07-09,11:58:08,P202,Chai Latte,Tea,Large,1,4.0,4.0,Credit Card,C695,5,Downtown,EMP001,489
209,2025-06-17,17:43:16,P101,Espresso,Coffee,Medium,1,3.0,3.0,Cash,C421,0,Mall Branch,EMP003,1960
210,2025-04-19,09:28:07,P201,Green Tea,Tea,Medium,2,2.5,5.0,Debit Card,,4,Downtown,EMP001,1664
211,2025-06-03,17:25:40,P202,Chai Latte,Tea,Large,3,4.0,12.0,Credit Card,C148,0,Mall Branch,EMP002,2386
212,2025-01-15,19:32:36,P202,Chai Latte,Tea,Medium,3,3.5,10.5,Cash,C918,10,Airport,EMP003,641
213,2025-07-06,18:26:35,P201,Green Tea,Tea,Medium,2,2.5,5.0,Debit Card,C881,4,Downtown,EMP002,1803
214,2024-08-29,14:51:27,P302,Croissant,Bakery,,2,3.0,6.0,Credit Card,C579,0,Mall Branch,EMP005,1970
215,2025-03-15,17:20:24,P202,Chai Latte,Tea,Medium,3,3.5,10.5,Cash,C956,2,Downtown,EMP003,2199
216,2025-02-11,12:17:37,P102,Cappuccino,Coffee,Medium,1,3.5,3.5,Cash,C763,2,Mall Branch,EMP003,1439
217,2024-08-16,14:29:29,P101,Espresso,Coffee,Medium,3,3.0,9.0,Debit Card,C337,9,Downtown,EMP001,1635
