transaction_id,transaction_date,transaction_time,product_id,product_name,product_category,size,quantity,unit_price,total_price,payment_method,customer_id,loyalty_points_earned,location,barista_id
153,2025-03-24,10:03:55,P102,Cappuccino,Coffee,Small,1,3.0,3.0,Cash,C226,8,University,EMP005
154,2024-11-12,14:13:56,P102,Cappuccino,Coffee,Large,1,4.0,4.0,Debit Card,C310,0,Airport,EMP001
155,2025-06-07,16:48:33,P103,Latte,Coffee,Medium,3,3.5,10.5,Cash,NA,0,University,EMP002
156,2025-04-20,08:33:37,P301,Blueberry Muffin,Bakery,NA,1,2.5,2.5,Debit Card,C627,0,University,EMP003
157,2025-07-19,12:22:35,P101,Espresso,Coffee,Medium,3,3.0,9.0,Debit Card,C376,6,University,EMP005
158,2024-08-10,15:42:30,P301,Blueberry Muffin,Bakery,NA,3,2.5,7.5,Credit Card,NA,0,University,EMP002
159,2025-06-14,18:59:09,P302,Croissant,Bakery,NA,3,3.0,9.0,Cash,C711,2,Downtown,EMP001
160,2025-07-26,11:23:33,P102,Cappuccino,Coffee,Small,3,3.0,9.0,Credit Card,C791,0,University,EMP002
161,2025-05-08,17:17:40,P301,Blueberry Muffin,Bakery,NA,3,2.5,7.5,Debit Card,C581,0,Airport,EMP005
162,2025-05-19,18:43:16,P103,Latte,Coffee,Medium,2,3.5,7.0,Cash,C620,10,Airport,EMP004
163,2025-06-03,16:46:25,P301,Blueberry Muffin,Bakery,NA,3,2.5,7.5,Debit Card,NA,2,University,EMP002
164,2024-11-15,18:14:41,P103,Latte,Coffee,Large,2,4.5,9.0,Cash,C934,0,University,EMP001
165,2024-10-28,11:35:48,P101,Espresso,Coffee,Small,3,2.5,7.5,Cash,C433,0,University,EMP003
166,2024-12-30,13:49:59,P202,Chai Latte,Tea,Large,1,4.0,4.0,Debit Card,C208,0,Downtown,EMP001
167,2025-02-10,16:13:09,P201,Green Tea,Tea,Medium,3,2.5,7.5,Credit Card,C717,6,University,EMP005
168,2025-06-30,18:25:13,P101,Espresso,Coffee,Small,2,2.5,5.0,Cash,C203,0,Downtown,EMP001
169,2024-09-01,19:54:53,P301,Blueberry Muffin,Bakery,NA,3,2.5,7.5,Debit Card,C417,10,University,EMP003
170,2025-03-18,20:48:21,P101,Espresso,Coffee,Medium,2,3.0,6.0,Debit Card,C295,3,University,EMP001
171,2025-01-22,09:24:46,P302,Croissant,Bakery,NA,1,3.0,3.0,Cash,NA,4,Downtown,EMP002
172,2025-01-27,08:48:58,P201,Green Tea,Tea,Medium,1,2.5,2.5,Debit Card,NA,0,University,EMP001
173,2024-09-06,15:11:37,P302,Croissant,Bakery,NA,1,3.0,3.0,Debit Card,C430,0,University,EMP001
174,2024-09-23,10:20:50,P302,Croissant,Bakery,NA,2,3.0,6.0,Debit Card,C865,9,University,EMP004
175,2025-07-21,11:30:07,P301,Blueberry Muffin,Bakery,NA,1,2.5,2.5,Debit Card,C386,0,Downtown,EMP005
176,2024-11-18,12:38:58,P201,Green Tea,Tea,Small,1,2.0,2.0,Cash,C399,4,Downtown,EMP001
177,2024-11-26,18:41:10,P302,Croissant,Bakery,NA,1,3.0,3.0,Debit Card,C580,0,Mall Branch,EMP004
178,2025-01-19,10:41:17,P103,Latte,Coffee,Medium,1,3.5,3.5,Cash,C164,0,Downtown,EMP001
179,2025-03-11,20:50:42,P103,Latte,Coffee,Large,1,4.5,4.5,Debit Card,C562,10,Mall Branch,EMP003
180,2025-05-10,15:31:10,P301,Blueberry Muffin,Bakery,NA,2,2.5,5.0,Debit Card,C460,0,Mall Branch,EMP004
181,2024-08-21,16:46:19,P101,Espresso,Coffee,Small,2,2.5,5.0,Debit Card,C428,0,University,EMP002
182,2024-12-03,14:41:24,P103,Latte,Coffee,Medium,2,3.5,7.0,Debit Card,NA,2,Downtown,EMP004
183,2024-12-11,18:31:59,P101,Espresso,Coffee,Medium,1,3.0,3.0,Debit Card,C811,8,Downtown,EMP005
184,2025-07-01,11:27:31,P202,Chai Latte,Tea,Large,2,4.0,8.0,Debit Card,C981,1,Mall Branch,EMP002
185,2025-02-11,12:19:10,P103,Latte,Coffee,Medium,3,3.5,10.5,Cash,NA,0,Downtown,EMP001
186,2025-01-26,20:54:21,P301,Blueberry Muffin,Bakery,NA,2,2.5,5.0,Cash,C175,0,Mall Branch,EMP003
187,2024-10-18,12:28:55,P301,Blueberry Muffin,Bakery,NA,1,2.5,2.5,Credit Card,C885,0,University,EMP001
188,2025-07-28,17:25:49,P301,Blueberry Muffin,Bakery,NA,1,2.5,2.5,Credit Card,C302,10,University,EMP001
189,2024-12-15,09:45:23,P201,Green Tea,Tea,Medium,1,2.5,2.5,Debit Card,C684,6,University,EMP001
190,2025-02-17,15:40:43,P103,Latte,Coffee,Medium,3,3.5,10.5,Cash,NA,9,Mall Branch,EMP001
191,2025-01-20,17:27:22,P202,Chai Latte,Tea,Medium,3,3.5,10.5,Debit Card,NA,2,University,EMP002
192,2024-12-07,18:27:55,P101,Espresso,Coffee,Small,3,2.5,7.5,Cash,NA,3,Mall Branch,EMP002
193,2025-06-24,13:00:39,P103,Latte,Coffee,Large,2,4.5,9.0,Debit Card,NA,0,University,EMP004
194,2024-12-07,11:18:02,P202,Chai Latte,Tea,Large,1,4.0,4.0,Credit Card,C624,0,University,EMP005
195,2024-10-04,09:51:16,P103,Latte,Coffee,Large,1,4.5,4.5,Debit Card,C226,0,University,EMP004
196,2024-12-17,19:58:01,P101,Espresso,Coffee,Medium,1,3.0,3.0,Credit Card,C687,7,University,EMP002
197,2024-09-24,16:38:51,P202,Chai Latte,Tea,Large,2,4.0,8.0,Cash,C360,7,Downtown,EMP001
198,2025-04-23,15:19:29,P101,Espresso,Coffee,Small,1,2.5,2.5,Cash,NA,10,University,EMP004
199,2025-03-28,16:11:30,P301,Blueberry Muffin,Bakery,NA,1,2.5,2.5,Credit Card,C417,1,Downtown,EMP002
200,2024-11-21,09:24:33,P101,Espresso,Coffee,Medium,3,3.0,9.0,Cash,C536,0,Downtown,EMP002
201,2025-08-07,09:47:50,P301,Blueberry Muffin,Bakery,NA,2,2.5,5.0,Credit Card,NA,9,Mall Branch,EMP005
202,2025-06-05,15:31:13,P302,Croissant,Bakery,NA,2,3.0,6.0,Debit Card,C559,0,Mall Branch,EMP004
203,2025-03-22,15:13:41,P101,Espresso,Coffee,Medium,1,3.0,3.0,Credit Card,C234,4,Airport,EMP003
204,2025-01-19,20:38:24,P301,Blueberry Muffin,Bakery,NA,1,2.5,2.5,Debit Card,C736,4,Airport,EMP002
205,2025-03-20,13:47:57,P302,Croissant,Bakery,NA,3,3.0,9.0,Debit Card,C778,0,University,EMP003
206,2024-09-06,10:49:35,P103,Latte,Coffee,Large,2,4.5,9.0,Cash,NA,4,Downtown,EMP001
207,2025-01-16,13:03:23,P102,Cappuccino,Coffee,Small,1,3.0,3.0,Cash,C209,0,Airport,EMP002
208,2025-07-09,11:58:08,P202,Chai Latte,Tea,Large,1,4.0,4.0,Credit Card,C695,5,Downtown,EMP001
209,2025-06-17,17:43:16,P101,Espresso,Coffee,Medium,1,3.0,3.0,Cash,C421,0,Mall Branch,EMP003
210,2025-04-19,09:28:07,P201,Green Tea,Tea,Medium,2,2.5,5.0,Debit Card,NA,4,Downtown,EMP001
211,2025-06-03,17:25:40,P202,Chai Latte,Tea,Large,3,4.0,12.0,Credit Card,C148,0,Mall Branch,EMP002
212,2025-01-15,19:32:36,P202,Chai Latte,Tea,Medium,3,3.5,10.5,Cash,C918,10,Airport,EMP003
213,2025-07-06,18:26:35,P201,Green Tea,Tea,Medium,2,2.5,5.0,Debit Card,C881,4,Downtown,EMP002
214,2024-08-29,14:51:27,P302,Croissant,Bakery,NA,2,3.0,6.0,Credit Card,C579,0,Mall Branch,EMP005
215,2025-03-15,17:20:24,P202,Chai Latte,Tea,Medium,3,3.5,10.5,Cash,C956,2,Downtown,EMP003
216,2025-02-11,12:17:37,P102,Cappuccino,Coffee,Medium,1,3.5,3.5,Cash,C763,2,Mall Branch,EMP003
217,2024-08-16,14:29:29,P101,Espresso,Coffee,Medium,3,3.0,9.0,Debit Card,C337,9,Downtown,EMP001
218,2024-08-22,17:32:06,P103,Latte,Coffee,Medium,3,3.5,10.5,Credit Card,C859,2,University,EMP001
219,2024-12-29,09:22:22,P302,Croissant,Bakery,NA,3,3.0,9.0,Debit Card,C297,7,Airport,EMP005
220,2024-09-29,19:21:37,P302,Croissant,Bakery,NA,2,3.0,6.0,Debit Card,C919,10,Airport,EMP003
221,2024-08-11,13:56:54,P103,Latte,Coffee,Medium,3,3.5,10.5,Cash,NA,0,Airport,EMP005
222,2025-03-17,10:26:29,P202,Chai Latte,Tea,Large,1,4.0,4.0,Credit Card,C666,0,University,EMP003
223,2025-02-07,15:25:25,P101,Espresso,Coffee,Medium,1,3.0,3.0,Cash,C584,0,Mall Branch,EMP002
